claim_scope,family,group_seed,method,dependent_scramble_count,independent_training_group_count,mean_relative_delta_change,max_relative_delta_change,mean_distance_from_oracle,max_distance_from_oracle,minimum_output_rank,maximum_output_rank,output_rank_cap
primary_well_conditioned,positive_diagonal,3,canonical_svd_factor_average,20,1,1.0806665014047064e-15,1.0806665014047066e-15,1.0849918380634826,1.0849918380634824,4,4,4
primary_well_conditioned,positive_diagonal,3,cycle_aware_alignment,20,1,1.0770044623344845e-15,1.0770044623344843e-15,2.9045379397720774,2.904537939772078,4,4,4
primary_well_conditioned,positive_diagonal,3,full_delta_svd,20,1,1.0770044623344845e-15,1.0770044623344843e-15,2.9045379397720774,2.904537939772078,4,4,4
primary_well_conditioned,positive_diagonal,3,global_synchronization,20,1,4.7908778911302174e-15,8.873940486590328e-15,2.6533406282171255,2.653340628217129,4,4,4
primary_well_conditioned,positive_diagonal,3,naive_factor_average,20,1,1.8007785594724528,2.30466629883771,1.8007785594724528,2.30466629883771,4,4,4
primary_well_conditioned,positive_diagonal,3,oracle_alignment,20,1,5.893952631587575e-17,5.893952631587574e-17,0.0,0.0,4,4,4
primary_well_conditioned,positive_diagonal,3,pairwise_reference_alignment,20,1,1.548711136553554e-15,2.599505676475851e-15,1.9963740656678168,1.9963740656678177,4,4,4
primary_well_conditioned,positive_diagonal,4,canonical_svd_factor_average,20,1,1.213111236369981e-15,1.213111236369981e-15,1.3829696753313114,1.3829696753313119,4,4,4
primary_well_conditioned,positive_diagonal,4,cycle_aware_alignment,20,1,9.39987293453431e-16,9.399872934534307e-16,3.1266480963679384,3.126648096367939,4,4,4
primary_well_conditioned,positive_diagonal,4,full_delta_svd,20,1,9.39987293453431e-16,9.399872934534307e-16,3.1266480963679384,3.126648096367939,4,4,4
primary_well_conditioned,positive_diagonal,4,global_synchronization,20,1,4.0645293465213205e-15,8.218442043446797e-15,3.0304157580633344,3.0304157580633393,4,4,4
primary_well_conditioned,positive_diagonal,4,naive_factor_average,20,1,1.7177624232424449,2.409941294225375,1.7177624232424449,2.409941294225375,4,4,4
primary_well_conditioned,positive_diagonal,4,oracle_alignment,20,1,6.534890508288357e-17,6.534890508288356e-17,0.0,0.0,4,4,4
primary_well_conditioned,positive_diagonal,4,pairwise_reference_alignment,20,1,1.9024087071024337e-15,3.576052458031331e-15,2.2141299536903762,2.2141299536903776,4,4,4
