claim_scope,family,group_seed,method,dependent_scramble_count,independent_training_group_count,median_merge_seconds,p25_merge_seconds,p75_merge_seconds,minimum_merge_seconds,maximum_merge_seconds,maximum_dense_allocation_count,maximum_temporary_dense_bytes,stored_factor_bytes,output_rank_cap,failure_rate
primary_well_conditioned,orthogonal,3,naive_factor_average,20,1,3.9874925278127193e-05,3.731268225237727e-05,4.2062136344611645e-05,3.2499898225069046e-05,5.004182457923889e-05,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,3,oracle_alignment,20,1,0.0003243745304644108,0.00031418754952028394,0.0003361562266945839,0.0002995410468429327,0.00036979210563004017,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,3,pairwise_reference_alignment,20,1,0.002113541471771896,0.0020794792799279094,0.002160030882805586,0.0020388339180499315,0.00242304103448987,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,4,canonical_svd_factor_average,20,1,0.0014348539989441633,0.0014225317863747478,0.0015489590005017817,0.0014116659294813871,0.001642000162974,8,262144,4096,4,0.0
primary_well_conditioned,orthogonal,4,cycle_aware_alignment,20,1,0.002824146067723632,0.002777479065116495,0.0029150316258892417,0.002751207910478115,0.0035439159255474806,9,294912,4096,4,0.0
primary_well_conditioned,orthogonal,4,full_delta_svd,20,1,0.00036616704892367125,0.0003560625482350588,0.00039302028017118573,0.00034675002098083496,0.0004469591658562422,9,294912,4096,4,0.0
primary_well_conditioned,orthogonal,4,global_synchronization,20,1,0.0025509794941172004,0.0024937917478382587,0.002639395766891539,0.0024704579263925552,0.002893999917432666,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,4,naive_factor_average,20,1,3.9395992644131184e-05,3.692752216011286e-05,4.203134449198842e-05,3.200001083314419e-05,5.94588927924633e-05,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,4,oracle_alignment,20,1,0.0003219796344637871,0.00030457315733656287,0.00035380246117711067,0.00029808306135237217,0.0005209590308368206,0,0,4096,4,0.0
primary_well_conditioned,orthogonal,4,pairwise_reference_alignment,20,1,0.0021180209005251527,0.0020659477449953556,0.0021893123630434275,0.0020377500914037228,0.0022686249576509,0,0,4096,4,0.0
