family,scramble_index,scramble_seed,i,j,k,normalized_frobenius_defect,spectral_defect,holonomy_condition_number
positive_diagonal,12,20460731,0,2,3,2.2416586918288e-15,1.887379141862766e-15,1.0000000000000018
positive_diagonal,12,20460731,1,2,3,1.3294907383861984e-15,1.5543122344752192e-15,1.0000000000000016
positive_diagonal,13,20460732,0,1,2,1.2025188850919582e-15,1.9984014443252818e-15,1.0000000000000016
positive_diagonal,13,20460732,0,1,3,1.1531052819970444e-15,1.9984014443252818e-15,1.0000000000000016
positive_diagonal,13,20460732,0,2,3,1.0856307017250034e-15,1.1102230246251565e-15,1.0000000000000013
positive_diagonal,13,20460732,1,2,3,1.914165066414e-15,6.193686265275447e-16,1.0000000000000013
positive_diagonal,14,20460733,0,1,2,1.0852193730946763e-15,9.992007221626409e-16,1.000000000000001
positive_diagonal,14,20460733,0,1,3,1.4142752990118038e-15,1.2548284654208973e-15,1.0000000000000016
positive_diagonal,14,20460733,0,2,3,1.4142752990118038e-15,1.2548284654208973e-15,1.0000000000000016
positive_diagonal,14,20460733,1,2,3,2.155743852749264e-15,7.771561172376096e-16,1.000000000000001
positive_diagonal,15,20460734,0,1,2,1.43422477326637e-15,1.9984014443252818e-15,1.0000000000000009
positive_diagonal,15,20460734,0,1,3,2.9175931625937135e-15,1.887379141862766e-15,1.0000000000000018
positive_diagonal,15,20460734,0,2,3,2.9175931625937135e-15,1.887379141862766e-15,1.0000000000000018
positive_diagonal,15,20460734,1,2,3,1.898203550432693e-15,1.0812739317800483e-15,1.0000000000000018
positive_diagonal,16,20460735,0,1,2,1.405282932252184e-15,1.3322676295501878e-15,1.0000000000000013
positive_diagonal,16,20460735,0,1,3,1.0837061436824685e-15,1.4432899320127035e-15,1.0000000000000016
positive_diagonal,16,20460735,0,2,3,1.905936768686784e-15,9.992007221626409e-16,1.0000000000000007
positive_diagonal,16,20460735,1,2,3,1.4497556619285031e-15,1.7763568394002505e-15,1.0000000000000018
positive_diagonal,17,20460736,0,1,2,2.2416586918288e-15,1.887379141862766e-15,1.0000000000000018
positive_diagonal,17,20460736,0,1,3,1.6880759633788139e-15,2.220446049250313e-15,1.0000000000000024
positive_diagonal,17,20460736,0,2,3,1.2041387540374943e-15,6.661338147750939e-16,1.000000000000001
positive_diagonal,17,20460736,1,2,3,1.2041387540374943e-15,6.661338147750939e-16,1.000000000000001
positive_diagonal,18,20460737,0,1,2,1.5436167159306808e-15,1.1102230246251565e-15,1.0000000000000013
