architecture,dataset,collection,domain,method,accuracy,loss,ece,worst_task_accuracy,forgetting,trainable_parameters,stored_parameters,branch_count,latency_seconds,peak_memory_mb,selector_validation_samples,candidate_count,lift_activated,selected_ordinary_method,leakage_hash_passed,logits_sha256
resnet18,CIFAR10,2,gaussian_shift,ties,0.398,1.9083770477515094,0.20348846804295653,0.3624454148471616,0.061008162162490026,0,5120,1,8.665956556797028e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,gaussian_shift,dare,0.253,2.010367605899195,0.09672286649187768,0.1603905160390516,0.20407242725982724,0,5120,1,8.542090654373169e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,gaussian_shift,regmean,0.398,1.9780913385315662,0.22871667122713396,0.3624454148471616,0.061008162162490026,0,5120,1,8.750008419156075e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,gaussian_shift,cca_shared_feature_alignment,0.398,1.9780913385315662,0.22871667122713396,0.3624454148471616,0.061008162162490026,0,5120,1,8.707866072654724e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,gaussian_shift,low_rank_task_subspace,0.327,1.9934723346588077,0.1477482678740133,0.22998544395924309,0.13524654452937307,0,5120,1,1.091696321964264e-05,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,gaussian_shift,twistedmerge_hodge_lr,0.398,1.9780913385315662,0.22871667122713396,0.3624454148471616,0.061008162162490026,0,5120,1,1.0041054338216782e-05,342.046875,600,6,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,gaussian_shift,adaptive_router,0.406,1.9324753961036008,0.22379166019924263,0.3653566229985444,0.053411375202671196,44,20480,4,9.16607677936554e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,2,gaussian_shift,ensemble_reference,0.398,1.9780913385315662,0.22871667122713396,0.3624454148471616,0.061008162162490026,0,20480,4,8.999835699796677e-06,342.046875,0,1,False,uniform_model_soup,True,21fda8822bebb0d397129eaf8e3c47abcb754f1d6764552d2570eec36ca38a21
resnet18,CIFAR10,3,clean,uniform_model_soup,0.76,1.7502166296797406,0.5763260135187805,0.7279102384291725,0.04669701771123572,0,5120,1,9.082956239581108e-06,342.046875,0,1,False,uniform_model_soup,True,0c047a4027f0553580bdad4e14bda8e017d7418c21456f46d072d5499ef30c02
resnet18,CIFAR10,3,clean,greedy_model_soup,0.636,3.488763394940698,0.3827212601952623,0.5497896213183731,0.17429552939357615,0,5120,1,9.375158697366714e-06,342.046875,600,1,False,uniform_model_soup,True,0c047a4027f0553580bdad4e14bda8e017d7418c21456f46d072d5499ef30c02
