setting_id,group,width,seed,noise,context_budget,split,method,accuracy,loss,ece,trainable_parameters,stored_parameters,branch_count,latency_ms,peak_memory_mb,leakage_hash_passed,logits_sha256
S3_w64_s21_n0.5_b64,S3,64,21,0.5,64,standard,twistedmerge_hodge_lr,0.6,1.5314693022310113,0.2148926270539032,30,30,1,0.024082837626338005,125.4375,True,16722386f4ba19c56e7d29cbaf5a25e42d9234befc5ab6561dfad1b0a2880a59
S3_w64_s21_n0.5_b64,S3,64,21,0.5,64,standard,generic_mixture_of_experts,0.5183333333333333,1.7246268894356294,0.32576765286325915,42,42,6,0.022916123270988464,125.4375,True,16722386f4ba19c56e7d29cbaf5a25e42d9234befc5ab6561dfad1b0a2880a59
S3_w64_s21_n0.5_b64,S3,64,21,0.5,64,standard,learned_unconstrained_matrix_context_action,0.26916666666666667,1.9150884058516549,0.14837489535328574,222,222,1,0.022082822397351265,125.4375,True,16722386f4ba19c56e7d29cbaf5a25e42d9234befc5ab6561dfad1b0a2880a59
S3_w64_s21_n0.5_b64,S3,64,21,0.5,64,standard,generic_low_rank_context_adapter,0.18416666666666667,3.0896452332276105,0.3793669786518355,462,462,1,0.02208305522799492,125.4375,True,16722386f4ba19c56e7d29cbaf5a25e42d9234befc5ab6561dfad1b0a2880a59
S3_w64_s21_n0.5_b64,S3,64,21,0.5,64,standard,group_structured_without_hodge,0.6,1.5314693022310113,0.21489262705390322,0,0,1,0.023791799321770668,125.4375,True,16722386f4ba19c56e7d29cbaf5a25e42d9234befc5ab6561dfad1b0a2880a59
S3_w64_s21_n0.5_b64,S3,64,21,0.5,64,standard,hodge_lr_generic_retransport,0.2758333333333333,1.9561165503263094,0.15081205519202015,66,66,6,0.02108304761350155,125.4375,True,16722386f4ba19c56e7d29cbaf5a25e42d9234befc5ab6561dfad1b0a2880a59
S3_w64_s21_n0.5_b64,S3,64,21,0.5,64,standard,random_multiplication_table_control,0.22166666666666668,2.116046355015269,0.2067172471331903,0,0,1,0.023082830011844635,125.4375,True,16722386f4ba19c56e7d29cbaf5a25e42d9234befc5ab6561dfad1b0a2880a59
S3_w64_s21_n0.5_b64,S3,64,21,0.5,64,standard,shuffled_context_control,0.195,2.155230586259137,0.23338391379985704,0,0,1,0.025290995836257935,125.4375,True,16722386f4ba19c56e7d29cbaf5a25e42d9234befc5ab6561dfad1b0a2880a59
S3_w64_s21_n1.0_b16,S3,64,21,1.0,16,standard,twistedmerge_hodge_lr,0.16833333333333333,2.189563432134671,0.2600505804665237,30,30,1,0.023875152692198753,125.453125,True,e07d0a9814d6b22711b3779b7e2373fc7b73606ae617ea5454dbb8e8e25d9a74
S3_w64_s21_n1.0_b16,S3,64,21,1.0,16,standard,generic_mixture_of_experts,0.16166666666666665,1.8046184369130602,0.03478146653924734,42,42,6,0.023416010662913322,125.453125,True,e07d0a9814d6b22711b3779b7e2373fc7b73606ae617ea5454dbb8e8e25d9a74
