family,setting_id,seed,method,accuracy,loss,ece,residual_before,residual_after,residual_reduction,selected_rank,false_positive_lift_activation,trainable_parameters,stored_parameters,latency_ms,peak_memory_mb,context_samples,leakage_hash_passed,logits_sha256,cocycle_family,width,control_seed
controlled_mu2,mu2_w32_s6,6,low_rank_generic_router,0.5175,0.696623595220688,0.027240090020830807,0.7640554103111946,1.0596194302209174,-0.2955640199097228,1,False,70,70,0.01,257.1875,512,True,3f3e5a5cd04a0ddd2b694512b3d18bfdb56e5430dc829e077b6212e0d861edb0,coboundary,32,6
controlled_mu2,mu2_w32_s6,6,low_rank_structured_router,1.0,0.38581270431699954,0.31004215799399426,0.7640554103111946,0.0,0.7640554103111946,1,False,2,2,0.01,257.1875,512,True,3f3e5a5cd04a0ddd2b694512b3d18bfdb56e5430dc829e077b6212e0d861edb0,coboundary,32,6
controlled_mu2,mu2_w32_s6,6,canonicalize_pool_retransport,1.0,0.38581270431699954,0.31004215799399426,0.7640554103111946,0.0,0.7640554103111946,1,False,2,2,0.01,257.1875,512,True,3f3e5a5cd04a0ddd2b694512b3d18bfdb56e5430dc829e077b6212e0d861edb0,coboundary,32,6
controlled_mu2,mu2_w32_s6,6,distilled_chart_aware_predictor,0.5066666666666667,0.7008952315911247,0.05039033327830796,0.7640554103111946,0.5674890127662235,0.19656639754497107,1,False,70,70,0.01,257.1875,512,True,3f3e5a5cd04a0ddd2b694512b3d18bfdb56e5430dc829e077b6212e0d861edb0,coboundary,32,6
controlled_mu2,mu2_w32_s7,7,strict_synchronization,0.5083333333333333,0.9357001953489615,0.2300294065316901,1.0849074308842073,1.0849074308842073,0.0,0,False,0,0,0.01,257.1875,512,True,50a973ccefb4de6eca29b2dabcf197693f2d1cc6bca5e5eaaf23891eb4d73d5d,nontrivial_central,32,7
controlled_mu2,mu2_w32_s7,7,synchronization_cycle_norm_only,0.5083333333333333,0.9357001953489615,0.2300294065316901,1.0849074308842073,1.0849074308842073,0.0,0,False,0,0,0.01,257.1875,512,True,50a973ccefb4de6eca29b2dabcf197693f2d1cc6bca5e5eaaf23891eb4d73d5d,nontrivial_central,32,7
controlled_mu2,mu2_w32_s7,7,weighted_hodge,0.7541666666666667,0.5115881796360443,0.13831260324377678,1.0849074308842073,0.5424537154421036,0.5424537154421036,0,False,0,0,0.01,257.1875,512,True,50a973ccefb4de6eca29b2dabcf197693f2d1cc6bca5e5eaaf23891eb4d73d5d,nontrivial_central,32,7
controlled_mu2,mu2_w32_s7,7,hodge_full_rank_correction,1.0,0.32773516756384197,0.2663994016429435,1.0849074308842073,0.0,1.0849074308842073,2,False,4,4,0.01,257.1875,512,True,50a973ccefb4de6eca29b2dabcf197693f2d1cc6bca5e5eaaf23891eb4d73d5d,nontrivial_central,32,7
controlled_mu2,mu2_w32_s7,7,hodge_low_rank_correction,1.0,0.32773516756384197,0.2663994016429435,1.0849074308842073,1.6326526066619582e-16,1.084907430884207,1,False,2,2,0.01,257.1875,512,True,50a973ccefb4de6eca29b2dabcf197693f2d1cc6bca5e5eaaf23891eb4d73d5d,nontrivial_central,32,7
controlled_mu2,mu2_w32_s7,7,low_rank_generic_router,0.5025,0.7028776756471519,0.05083082000292208,1.0849074308842073,1.2321334792361223,-0.147226048351915,1,False,70,70,0.01,257.1875,512,True,50a973ccefb4de6eca29b2dabcf197693f2d1cc6bca5e5eaaf23891eb4d73d5d,nontrivial_central,32,7
controlled_mu2,mu2_w32_s7,7,low_rank_structured_router,1.0,0.32773516756384197,0.2663994016429435,1.0849074308842073,0.0,1.0849074308842073,1,False,2,2,0.01,257.1875,512,True,50a973ccefb4de6eca29b2dabcf197693f2d1cc6bca5e5eaaf23891eb4d73d5d,nontrivial_central,32,7
controlled_mu2,mu2_w32_s7,7,canonicalize_pool_retransport,1.0,0.32773516756384197,0.2663994016429435,1.0849074308842073,0.0,1.0849074308842073,1,False,2,2,0.01,257.1875,512,True,50a973ccefb4de6eca29b2dabcf197693f2d1cc6bca5e5eaaf23891eb4d73d5d,nontrivial_central,32,7
controlled_mu2,mu2_w32_s7,7,distilled_chart_aware_predictor,0.5058333333333334,0.7124092856305341,0.07196069550965976,1.0849074308842073,0.7884953262964591,0.29641210458774814,1,False,70,70,0.01,257.1875,512,True,50a973ccefb4de6eca29b2dabcf197693f2d1cc6bca5e5eaaf23891eb4d73d5d,nontrivial_central,32,7
controlled_mu2,mu2_w32_s8,8,strict_synchronization,0.505,0.8638740266338332,0.2045634982134471,0.8921231217452122,0.8921231217452122,0.0,0,False,0,0,0.01,257.203125,512,True,f7c751ce9a8f6b9ff3b86e4e80f0c98d4d97ebb70fb05047e00e4b0160a7b418,noncentral_control,32,8
controlled_mu2,mu2_w32_s8,8,synchronization_cycle_norm_only,0.505,0.8638740266338332,0.2045634982134471,0.8921231217452122,0.8921231217452122,0.0,0,False,0,0,0.01,257.203125,512,True,f7c751ce9a8f6b9ff3b86e4e80f0c98d4d97ebb70fb05047e00e4b0160a7b418,noncentral_control,32,8
controlled_mu2,mu2_w32_s8,8,weighted_hodge,0.74,0.5252863896256391,0.13464935165744393,0.8921231217452122,0.4460615608726061,0.4460615608726061,0,False,0,0,0.01,257.203125,512,True,f7c751ce9a8f6b9ff3b86e4e80f0c98d4d97ebb70fb05047e00e4b0160a7b418,noncentral_control,32,8
controlled_mu2,mu2_w32_s8,8,hodge_full_rank_correction,1.0,0.35967154505261534,0.29043650178655284,0.8921231217452122,0.0,0.8921231217452122,2,False,4,4,0.01,257.203125,512,True,f7c751ce9a8f6b9ff3b86e4e80f0c98d4d97ebb70fb05047e00e4b0160a7b418,noncentral_control,32,8
controlled_mu2,mu2_w32_s8,8,hodge_low_rank_correction,1.0,0.35967154505261545,0.2904365017865529,0.8921231217452122,2.0510948906237663e-16,0.892123121745212,1,False,2,2,0.01,257.203125,512,True,f7c751ce9a8f6b9ff3b86e4e80f0c98d4d97ebb70fb05047e00e4b0160a7b418,noncentral_control,32,8
controlled_mu2,mu2_w32_s8,8,low_rank_generic_router,0.49,0.7085199679918697,0.06482700457877277,0.8921231217452122,1.0832434319359694,-0.19112031019075715,1,False,70,70,0.01,257.203125,512,True,f7c751ce9a8f6b9ff3b86e4e80f0c98d4d97ebb70fb05047e00e4b0160a7b418,noncentral_control,32,8
controlled_mu2,mu2_w32_s8,8,low_rank_structured_router,1.0,0.35967154505261534,0.29043650178655284,0.8921231217452122,0.0,0.8921231217452122,1,False,2,2,0.01,257.203125,512,True,f7c751ce9a8f6b9ff3b86e4e80f0c98d4d97ebb70fb05047e00e4b0160a7b418,noncentral_control,32,8
