group,noise,context_budget,method,accuracy,loss,ece,trainable_parameters,latency_ms
S3,0.5,16,random_multiplication_table_control,0.27091666666666664,1.9993244208399865,0.2731487084068162,0.0,0.022833002731204033
S3,0.5,16,shuffled_context_control,0.17066666666666666,2.1567783517865045,0.24199385220485065,0.0,0.02264545764774084
S3,0.5,16,twistedmerge_hodge_lr,0.5935833333333334,1.5368823772448656,0.20410031007531973,30.0,0.022707972675561905
S3,0.5,64,generic_low_rank_context_adapter,0.18175000000000002,2.835479954469803,0.38601521293546626,462.0,0.02195802517235279
S3,0.5,64,generic_mixture_of_experts,0.4265,1.742797498416202,0.23781362354828967,42.0,0.022333464585244656
S3,0.5,64,group_structured_without_hodge,0.585,1.5405489878907477,0.19010204343937748,0.0,0.022521009668707848
S3,0.5,64,hodge_lr_generic_retransport,0.2768333333333334,1.8742439947614158,0.1460089120654759,66.0,0.021478976123034954
S3,0.5,64,learned_unconstrained_matrix_context_action,0.2725,1.9438315278635578,0.1430401215980722,222.0,0.02339598722755909
S3,0.5,64,random_multiplication_table_control,0.14525000000000002,2.1812834074289693,0.2759410023704759,0.0,0.023145461454987526
S3,0.5,64,shuffled_context_control,0.16883333333333334,2.1619616066683123,0.24360029191703686,0.0,0.022854539565742016
S3,0.5,64,twistedmerge_hodge_lr,0.585,1.5405489878907477,0.19010204343937745,30.0,0.023167114704847336
S3,1.0,16,generic_low_rank_context_adapter,0.19133333333333333,2.1132553589848575,0.2241516430105006,462.0,0.023290980607271194
S3,1.0,16,generic_mixture_of_experts,0.15733333333333333,1.8031995672304597,0.0386139346566806,42.0,0.02295919694006443
S3,1.0,16,group_structured_without_hodge,0.17066666666666666,2.1548430714197337,0.2431966317005419,0.0,0.02291705459356308
S3,1.0,16,hodge_lr_generic_retransport,0.18483333333333335,1.9545646937256653,0.14140711574983106,66.0,0.022666994482278824
S3,1.0,16,learned_unconstrained_matrix_context_action,0.16133333333333333,2.0290527750460154,0.1737157778270745,222.0,0.022707972675561905
S3,1.0,16,random_multiplication_table_control,0.125,2.2482153483309144,0.3035015800062773,0.0,0.023416010662913322
S3,1.0,16,shuffled_context_control,0.17333333333333334,2.148801477694415,0.2403936885057964,0.0,0.022958964109420776
S3,1.0,16,twistedmerge_hodge_lr,0.17066666666666666,2.154843071419734,0.24319663170054193,30.0,0.023707980290055275
S3,1.0,64,generic_low_rank_context_adapter,0.17966666666666667,2.7545310726217527,0.37251205507208474,462.0,0.02133287489414215
S3,1.0,64,generic_mixture_of_experts,0.14733333333333334,1.7971821807186756,0.0322498326856686,42.0,0.022208085283637047
S3,1.0,64,group_structured_without_hodge,0.1685,2.138601258347792,0.24536329836720858,0.0,0.02266606315970421
S3,1.0,64,hodge_lr_generic_retransport,0.17766666666666667,2.1443653834669876,0.23029572239521187,66.0,0.022207852452993393
S3,1.0,64,learned_unconstrained_matrix_context_action,0.16099999999999998,2.222183340785627,0.24901101430087583,222.0,0.02245907671749592
S3,1.0,64,random_multiplication_table_control,0.029666666666666668,2.352139555321603,0.38403180029235184,0.0,0.022124964743852615
S3,1.0,64,shuffled_context_control,0.16466666666666668,2.1806770979393524,0.2490318002923518,0.0,0.023165950551629066
S3,1.0,64,twistedmerge_hodge_lr,0.1685,2.1386012583477925,0.24536329836720863,30.0,0.02345792017877102
