dimension_m,dimension_n,rank,adapter_count,precision,method,trial_count,median_wall_seconds,p25_wall_seconds,p75_wall_seconds,minimum_wall_seconds,maximum_wall_seconds,median_cpu_seconds,minimum_cpu_seconds,maximum_cpu_seconds
768,768,8,4,float32,canonical_factor_space,3,0.0009827909525483,0.0009662915254011,0.0010539165232330001,0.0009497920982539,0.0011250420939177,0.000982,0.000949,0.0011209999999999
768,768,8,4,float32,cycle_aware_alignment,3,0.0028352921362966,0.00263652112334965,0.0030938755953684,0.0024377501104027,0.0033524590544402,0.0037040000000001,0.003597,0.004145
768,768,8,4,float32,dense_deterministic_truncated_svd,3,0.0018861659336835,0.0018808749737217502,0.0021009785123169,0.00187558401376,0.0023157910909503,0.001885,0.0018749999999999,0.0023079999999999
768,768,8,4,float32,dense_randomized_svd,3,0.0011625841725617,0.0011520215775817,0.0012617710744961502,0.0011414589826017,0.0013609579764306,0.0011619999999999,0.00114,0.0013579999999999
768,768,8,4,float32,global_synchronization,3,0.0020889590959995,0.00201691710390145,0.0023665000917389,0.0019448751118034,0.0026440410874783,0.003203,0.002939,0.003705
768,768,8,4,float32,naive_factor_average,3,4.812516272068024e-05,4.343758337199688e-05,7.908360566939012e-05,3.875000402331352e-05,0.0001100420486181,4.700000000001925e-05,3.900000000001125e-05,0.0001079999999999
768,768,8,4,float32,pairwise_reference_alignment,3,0.0016262088902294,0.00162089592777185,0.0016979584470390502,0.0016155829653143,0.0017697080038487,0.0027249999999999,0.002587,0.00273
768,768,8,8,float32,canonical_factor_space,3,0.0018760419916361,0.00186543748714025,0.0020088545279577,0.0018548329826444,0.0021416670642793,0.0018719999999999,0.001854,0.00214
768,768,8,8,float32,cycle_aware_alignment,3,0.0070807500742375,0.006574687547981651,0.0074047500966116005,0.0060686250217258,0.0077287501189857,0.0092320000000001,0.007506,0.0096989999999999
768,768,8,8,float32,dense_deterministic_truncated_svd,3,0.0019212088081985,0.0019172504544257502,0.00204152148216955,0.001913292100653,0.0021618341561406,0.0019209999999999,0.0019129999999999,0.002159
768,768,8,8,float32,dense_randomized_svd,3,0.0012152080889791,0.00121260411106045,0.00135262496769425,0.0012100001331418,0.0014900418464094,0.001215,0.001206,0.0014869999999999
768,768,8,8,float32,global_synchronization,3,0.0072941249236464,0.00715343747287985,0.00738316646311425,0.0070127500221133,0.0074722080025821,0.0097599999999999,0.009741,0.0110689999999999
768,768,8,8,float32,naive_factor_average,3,5.841697566211224e-05,5.0958478823304176e-05,9.543739724900611e-05,4.349998198449612e-05,0.0001324578188359,5.800000000011352e-05,4.399999999993298e-05,0.0001300000000001
768,768,8,8,float32,pairwise_reference_alignment,3,0.0051490839105099,0.0051246669609099,0.005311792017891949,0.0051002500113099,0.005474500125274,0.0076669999999998,0.0075169999999999,0.0080419999999998
768,768,8,16,float32,canonical_factor_space,3,0.004752041073516,0.0045301041100174,0.0061843955190852,0.0043081671465188,0.0076167499646544,0.0046329999999998,0.004304,0.0063330000000001
768,768,8,16,float32,cycle_aware_alignment,3,0.0355979590676724,0.035527333617210305,0.037936083972454,0.0354567081667482,0.0402742088772356,0.045458,0.0430199999999998,0.0476239999999998
768,768,8,16,float32,dense_deterministic_truncated_svd,3,0.002026000060141,0.002004166599363,0.0021133546251803,0.001982333138585,0.0022007091902196,0.0020249999999999,0.001981,0.0021989999999998
768,768,8,16,float32,dense_randomized_svd,3,0.0014967918395996,0.00146860443055625,0.0017120414413511502,0.0014404170215129,0.0019272910431027,0.001495,0.001427,0.001918
768,768,8,16,float32,global_synchronization,3,0.0348752092104405,0.03397483367007225,0.03512654209043825,0.033074458129704,0.035377874970436,0.045449,0.040602,0.045493
768,768,8,16,float32,naive_factor_average,3,8.204206824302673e-05,7.625005673617125e-05,0.00011452101171016337,7.045804522931576e-05,0.0001469999551773,8.099999999999774e-05,7.00000000000145e-05,0.0001440000000001
768,768,8,16,float32,pairwise_reference_alignment,3,0.0270230420865118,0.0264600419905036,0.0287854170892387,0.0258970418944954,0.0305477920919656,0.0309379999999999,0.027506,0.0339450000000001
768,768,16,4,float32,canonical_factor_space,3,0.0022460420150309,0.00219208351336415,0.0023423959501086998,0.0021381250116974,0.0024387498851865,0.0022439999999999,0.0021379999999999,0.0024349999999999
768,768,16,4,float32,cycle_aware_alignment,3,0.0040753339417278,0.00406050041783595,0.00502289645373815,0.0040456668939441,0.0059704589657485,0.006005,0.005587,0.006083
768,768,16,4,float32,dense_deterministic_truncated_svd,3,0.0039396251086145,0.00381379155442115,0.00487954157870255,0.0036879580002278,0.0058194580487906,0.003886,0.0036849999999999,0.0051649999999998
768,768,16,4,float32,dense_randomized_svd,3,0.0019267078023403,0.0019036662997677,0.0019873748533427,0.0018806247971951,0.0020480419043451,0.0019259999999998,0.0018789999999999,0.0020459999999999
768,768,16,4,float32,global_synchronization,3,0.0560157920699566,0.052603792049922,0.12569614604581145,0.0491917920298874,0.1953765000216663,0.007684,0.0065119999999998,0.0088549999999998
768,768,16,4,float32,naive_factor_average,3,7.966696284711361e-05,6.972893606871367e-05,0.0001359585439786068,5.979090929031372e-05,0.0001922501251101,8.000000000008001e-05,5.900000000003125e-05,0.0001849999999998
768,768,16,4,float32,pairwise_reference_alignment,3,0.003385417163372,0.0032788545358925503,0.0040415631374344,0.0031722919084131,0.0046977091114968,0.0045089999999998,0.0044399999999999,0.0054689999999999
768,768,16,8,float32,canonical_factor_space,3,0.0053386250510811,0.00513441709335885,0.0054066249867900495,0.0049302091356366,0.005474624922499,0.005066,0.0049049999999999,0.0053260000000001
768,768,16,8,float32,cycle_aware_alignment,3,0.0152077500242739,0.015176604501903,0.01613083353731775,0.0151454589795321,0.0170539170503616,0.0192000000000001,0.0190819999999998,0.021565
768,768,16,8,float32,dense_deterministic_truncated_svd,3,0.003820874961093,0.00374256249051535,0.00389272905886165,0.0036642500199377,0.0039645831566303,0.003818,0.003657,0.0039389999999999
768,768,16,8,float32,dense_randomized_svd,3,0.0024494999088346,0.00232112500816575,0.0025827289791777,0.0021927501074969,0.0027159580495208,0.002394,0.0021920000000001,0.0027129999999999
768,768,16,8,float32,global_synchronization,3,0.0147367080207914,0.0141089999815449,0.014758041477762149,0.0134812919422984,0.0147793749347329,0.018647,0.0173119999999999,0.018879
