complex,class_type,trial,vertices,edges,faces,h1_dimension,exact,coexact,harmonic,distance_to_coboundaries,classified_nontrivial,expected_nontrivial,classification_correct,runtime_seconds
triangle_complex,nontrivial_harmonic,18,3,3,1,0,0.010229856494057058,0.999947673649032,6.431057575277202e-17,1.7262556239168252,False,False,True,5.970802158117294e-05
triangle_complex,nontrivial_harmonic,19,3,3,1,0,0.012003810071028078,0.9999279516764089,0.0,1.7316653125589239,False,False,True,5.987496115267277e-05
triangle_complex,nontrivial_harmonic,20,3,3,1,0,0.006718161814044573,0.999977432896283,0.0,1.722024769514543,False,False,True,6.104214116930962e-05
triangle_complex,nontrivial_harmonic,21,3,3,1,0,0.0074480250127705525,0.999972263077036,0.0,1.739774345664945,False,False,True,5.966681055724621e-05
triangle_complex,nontrivial_harmonic,22,3,3,1,0,0.005105304784626887,0.9999869678466093,9.092899173951944e-17,1.7267012060308962,False,False,True,5.9916870668530464e-05
triangle_complex,nontrivial_harmonic,23,3,3,1,0,0.009125715195114664,0.9999583597941355,0.0,1.716193136587972,False,False,True,6.12910371273756e-05
triangle_complex,nontrivial_harmonic,24,3,3,1,0,0.007699062039495422,0.999970361782644,0.0,1.7458827790793243,False,False,True,5.950010381639004e-05
triangle_complex,nontrivial_harmonic,25,3,3,1,0,0.0064029240516610434,0.9999795010716912,1.435448061181407e-16,1.7294135058530091,False,False,True,5.9542013332247734e-05
triangle_complex,nontrivial_harmonic,26,3,3,1,0,0.007941632753878384,0.9999684647373647,9.133762954488974e-17,1.7189442656097174,False,False,True,9.445915929973125e-05
triangle_complex,nontrivial_harmonic,27,3,3,1,0,0.005934631079366612,0.9999823899219185,0.0,1.7518982708261799,False,False,True,0.0001809578388929367
triangle_complex,nontrivial_harmonic,28,3,3,1,0,0.0010955342236086242,0.9999993999022023,1.279832417373279e-16,1.73494958138563,False,False,True,0.0002961668651551008
triangle_complex,nontrivial_harmonic,29,3,3,1,0,0.013123062201233989,0.9999138889116714,1.1133898851288822e-16,1.7269755398857856,False,False,True,0.00023658317513763905
triangle_complex,nontrivial_harmonic,30,3,3,1,0,0.0008747915028629376,0.99999961736984,0.0,1.7435713125143497,False,False,True,0.00012079207226634026
triangle_complex,nontrivial_harmonic,31,3,3,1,0,0.008445000938980863,0.9999643403437648,0.0,1.7318394642242487,False,False,True,7.487507537007332e-05
triangle_complex,nontrivial_harmonic,32,3,3,1,0,0.010441872183516172,0.9999454821665543,0.0,1.7345622548582411,False,False,True,6.520794704556465e-05
triangle_complex,nontrivial_harmonic,33,3,3,1,0,0.007439620336824423,0.9999723256416869,0.0,1.7463352198248874,False,False,True,0.00014108396135270596
triangle_complex,nontrivial_harmonic,34,3,3,1,0,0.013512275602255585,0.999908705036639,9.138078468797301e-17,1.7180298051838832,False,False,True,0.00028933282010257244
triangle_complex,nontrivial_harmonic,35,3,3,1,0,0.0023002506335737826,0.9999973544200117,6.426470191126459e-17,1.7275736981933094,False,False,True,6.983405910432339e-05
triangle_complex,nontrivial_harmonic,36,3,3,1,0,0.013240007309070155,0.9999123472617264,0.0,1.7371862574039627,False,False,True,8.612498641014099e-05
triangle_complex,nontrivial_harmonic,37,3,3,1,0,0.015153252056483685,0.9998851828845715,6.460182584630204e-17,1.7183655995437028,False,False,True,5.795806646347046e-05
triangle_complex,nontrivial_harmonic,38,3,3,1,0,0.01122910894266396,0.9999369515686245,0.0,1.7423109548157558,False,False,True,6.254110485315323e-05
triangle_complex,nontrivial_harmonic,39,3,3,1,0,0.010769273256463575,0.999942009695326,1.2806489702271313e-16,1.733743856845969,False,False,True,5.629216320812702e-05
triangle_complex,nontrivial_harmonic,40,3,3,1,0,0.002210593228777199,0.9999975566358034,1.270427935914909e-16,1.7477895133759536,False,False,True,5.5999960750341415e-05
triangle_complex,nontrivial_harmonic,41,3,3,1,0,0.007568365388771627,0.9999713595125321,0.0,1.7421690814825315,False,False,True,5.5666081607341766e-05
triangle_complex,nontrivial_harmonic,42,3,3,1,0,0.00018988293086775072,0.9999999819722363,9.10398981034421e-17,1.7246201534568237,False,False,True,5.574990063905716e-05
triangle_complex,nontrivial_harmonic,43,3,3,1,0,0.010796315675923223,0.9999417180855222,0.0,1.7420055144365072,False,False,True,5.5541982874274254e-05
