benchmark,method,mean_accuracy,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,measured_inference_time_seconds,inference_multiplier,peak_memory_mb,best_benchmark_accuracy,worst_case_regret,inference_overhead,lambda_regret,lambda_inference,practical_score
lora_holonomy,dare,0.62875,96.0,96.0,1.0,1.0,7.983390241861343e-05,0.5564970696927843,,1.0,0.37124999999999997,0.0,0.1,0.05,0.5916250000000001
lora_holonomy,dare,0.62875,96.0,96.0,1.0,1.0,7.983390241861343e-05,0.5564970696927843,,1.0,0.37124999999999997,0.0,0.25,0.0,0.5359375000000001
lora_holonomy,dare,0.62875,96.0,96.0,1.0,1.0,7.983390241861343e-05,0.5564970696927843,,1.0,0.37124999999999997,0.0,0.25,0.01,0.5359375000000001
lora_holonomy,dare,0.62875,96.0,96.0,1.0,1.0,7.983390241861343e-05,0.5564970696927843,,1.0,0.37124999999999997,0.0,0.25,0.05,0.5359375000000001
lora_holonomy,delta_matrix_average,0.6975,96.0,96.0,1.0,1.0,8.416594937443733e-05,0.5866944089640946,,1.0,0.3025,0.0,0.0,0.0,0.6975
lora_holonomy,delta_matrix_average,0.6975,96.0,96.0,1.0,1.0,8.416594937443733e-05,0.5866944089640946,,1.0,0.3025,0.0,0.0,0.01,0.6975
lora_holonomy,delta_matrix_average,0.6975,96.0,96.0,1.0,1.0,8.416594937443733e-05,0.5866944089640946,,1.0,0.3025,0.0,0.0,0.05,0.6975
lora_holonomy,delta_matrix_average,0.6975,96.0,96.0,1.0,1.0,8.416594937443733e-05,0.5866944089640946,,1.0,0.3025,0.0,0.1,0.0,0.66725
lora_holonomy,delta_matrix_average,0.6975,96.0,96.0,1.0,1.0,8.416594937443733e-05,0.5866944089640946,,1.0,0.3025,0.0,0.1,0.01,0.66725
lora_holonomy,delta_matrix_average,0.6975,96.0,96.0,1.0,1.0,8.416594937443733e-05,0.5866944089640946,,1.0,0.3025,0.0,0.1,0.05,0.66725
lora_holonomy,delta_matrix_average,0.6975,96.0,96.0,1.0,1.0,8.416594937443733e-05,0.5866944089640946,,1.0,0.3025,0.0,0.25,0.0,0.621875
lora_holonomy,delta_matrix_average,0.6975,96.0,96.0,1.0,1.0,8.416594937443733e-05,0.5866944089640946,,1.0,0.3025,0.0,0.25,0.01,0.621875
lora_holonomy,delta_matrix_average,0.6975,96.0,96.0,1.0,1.0,8.416594937443733e-05,0.5866944089640946,,1.0,0.3025,0.0,0.25,0.05,0.621875
lora_holonomy,ensemble_reference,0.6975,96.0,384.0,4.0,4.0,7.724994793534279e-05,0.5384851342293316,,1.0,0.3025,0.0,0.0,0.0,0.6975
lora_holonomy,ensemble_reference,0.6975,96.0,384.0,4.0,4.0,7.724994793534279e-05,0.5384851342293316,,1.0,0.3025,0.0,0.0,0.01,0.6975
lora_holonomy,ensemble_reference,0.6975,96.0,384.0,4.0,4.0,7.724994793534279e-05,0.5384851342293316,,1.0,0.3025,0.0,0.0,0.05,0.6975
lora_holonomy,ensemble_reference,0.6975,96.0,384.0,4.0,4.0,7.724994793534279e-05,0.5384851342293316,,1.0,0.3025,0.0,0.1,0.0,0.66725
lora_holonomy,ensemble_reference,0.6975,96.0,384.0,4.0,4.0,7.724994793534279e-05,0.5384851342293316,,1.0,0.3025,0.0,0.1,0.01,0.66725
lora_holonomy,ensemble_reference,0.6975,96.0,384.0,4.0,4.0,7.724994793534279e-05,0.5384851342293316,,1.0,0.3025,0.0,0.1,0.05,0.66725
lora_holonomy,ensemble_reference,0.6975,96.0,384.0,4.0,4.0,7.724994793534279e-05,0.5384851342293316,,1.0,0.3025,0.0,0.25,0.0,0.621875
lora_holonomy,ensemble_reference,0.6975,96.0,384.0,4.0,4.0,7.724994793534279e-05,0.5384851342293316,,1.0,0.3025,0.0,0.25,0.01,0.621875
lora_holonomy,ensemble_reference,0.6975,96.0,384.0,4.0,4.0,7.724994793534279e-05,0.5384851342293316,,1.0,0.3025,0.0,0.25,0.05,0.621875
lora_holonomy,low_rank_svd_merge,0.6975,96.0,96.0,1.0,1.0,7.833307608962059e-05,0.5460352805418187,,1.0,0.3025,0.0,0.0,0.0,0.6975
lora_holonomy,low_rank_svd_merge,0.6975,96.0,96.0,1.0,1.0,7.833307608962059e-05,0.5460352805418187,,1.0,0.3025,0.0,0.0,0.01,0.6975
lora_holonomy,low_rank_svd_merge,0.6975,96.0,96.0,1.0,1.0,7.833307608962059e-05,0.5460352805418187,,1.0,0.3025,0.0,0.0,0.05,0.6975
lora_holonomy,low_rank_svd_merge,0.6975,96.0,96.0,1.0,1.0,7.833307608962059e-05,0.5460352805418187,,1.0,0.3025,0.0,0.1,0.0,0.66725
lora_holonomy,low_rank_svd_merge,0.6975,96.0,96.0,1.0,1.0,7.833307608962059e-05,0.5460352805418187,,1.0,0.3025,0.0,0.1,0.01,0.66725
lora_holonomy,low_rank_svd_merge,0.6975,96.0,96.0,1.0,1.0,7.833307608962059e-05,0.5460352805418187,,1.0,0.3025,0.0,0.1,0.05,0.66725
lora_holonomy,low_rank_svd_merge,0.6975,96.0,96.0,1.0,1.0,7.833307608962059e-05,0.5460352805418187,,1.0,0.3025,0.0,0.25,0.0,0.621875
lora_holonomy,low_rank_svd_merge,0.6975,96.0,96.0,1.0,1.0,7.833307608962059e-05,0.5460352805418187,,1.0,0.3025,0.0,0.25,0.01,0.621875
lora_holonomy,low_rank_svd_merge,0.6975,96.0,96.0,1.0,1.0,7.833307608962059e-05,0.5460352805418187,,1.0,0.3025,0.0,0.25,0.05,0.621875
lora_holonomy,pairwise_procrustes_alignment,0.6975,96.0,96.0,1.0,1.0,7.858290337026119e-05,0.5477767480812209,,1.0,0.3025,0.0,0.0,0.0,0.6975
