setting_id,group,width,seed,group_order,generator_s_recovery_error,generator_r_recovery_error,generator_commutator_norm,group_action_max_error,context_changes_prediction_rate,strict_synchronization_accuracy,supplied_context_accuracy,random_control_accuracy,wrong_generator_accuracy,wrong_order_accuracy,hodge_lr_rank,hodge_lr_explained_energy,leakage_regression_passed
S3_W64_S36,S3,64,36,6,1.2346543069970336e-15,1.2346543069970336e-15,3.4641016151377544,0.0,0.85075,0.1565,1.0,0.154,0.099,0.7235,5,1.0,True
S3_W64_S37,S3,64,37,6,8.02944122390648e-15,8.02944122390648e-15,3.4641016151377544,0.0,0.85825,0.143,1.0,0.172,0.1055,0.7105,5,1.0,True
S3_W64_S38,S3,64,38,6,1.0985161278750335e-14,1.0985161278750333e-14,3.4641016151377544,0.0,0.8585,0.1335,1.0,0.163,0.109,0.714,5,1.0,True
S3_W64_S39,S3,64,39,6,1.7890027751043016e-15,1.7890027751043016e-15,3.4641016151377544,0.0,0.85675,0.1415,1.0,0.1645,0.0915,0.7235,5,1.0,True
S3_W64_S40,S3,64,40,6,1.2417614402266029e-15,1.2417614402266029e-15,3.4641016151377544,0.0,0.8585,0.139,1.0,0.177,0.0865,0.7265,5,1.0,True
S3_W64_S41,S3,64,41,6,5.264434425873962e-15,5.264434425873962e-15,3.4641016151377544,0.0,0.86525,0.1325,1.0,0.148,0.093,0.696,5,1.0,True
S3_W64_S42,S3,64,42,6,4.497045050758878e-15,4.497045050758879e-15,3.4641016151377544,0.0,0.85275,0.16,1.0,0.172,0.105,0.7395,5,1.0,True
S3_W64_S43,S3,64,43,6,1.4702219347089027e-15,1.4702219347089027e-15,3.4641016151377544,0.0,0.85875,0.1445,1.0,0.1475,0.1035,0.7265,5,1.0,True
S3_W64_S44,S3,64,44,6,2.1328889726423646e-15,2.1328889726423646e-15,3.4641016151377544,0.0,0.85525,0.145,1.0,0.1615,0.1015,0.715,5,1.0,True
S3_W64_S45,S3,64,45,6,1.813611758292878e-15,1.813611758292878e-15,3.4641016151377544,0.0,0.86225,0.1435,1.0,0.179,0.0895,0.709,5,1.0,True
S3_W64_S46,S3,64,46,6,1.7160707007135087e-15,1.7160707007135087e-15,3.4641016151377544,0.0,0.85625,0.148,1.0,0.1455,0.097,0.7195,5,1.0,True
S3_W64_S47,S3,64,47,6,2.901340439070057e-15,2.901340439070057e-15,3.4641016151377544,0.0,0.8495,0.1435,1.0,0.169,0.096,0.716,5,1.0,True
S3_W64_S48,S3,64,48,6,2.0496655002985472e-15,2.0496655002985472e-15,3.4641016151377544,0.0,0.8685,0.1335,1.0,0.1565,0.095,0.711,5,1.0,True
S3_W64_S49,S3,64,49,6,1.0631793294591005e-15,1.0631793294591005e-15,3.4641016151377544,0.0,0.8515,0.1505,1.0,0.181,0.093,0.703,5,1.0,True
D4_W32_S0,D4,32,0,8,5.490635564345681e-15,5.490635564345681e-15,4.0,0.0,0.9005,0.0995,1.0,0.133,0.213,0.7895,7,1.0,True
D4_W32_S1,D4,32,1,8,8.438327295844504e-15,8.438327295844504e-15,4.0,0.0,0.908,0.089,1.0,0.138,0.206,0.7965,7,1.0,True
D4_W32_S2,D4,32,2,8,1.9453778310064505e-15,1.9453778310064505e-15,4.0,0.0,0.893,0.1085,1.0,0.1235,0.208,0.8075,7,1.0,True
D4_W32_S3,D4,32,3,8,2.016430295612743e-15,2.016430295612743e-15,4.0,0.0,0.89875,0.099,1.0,0.13,0.211,0.805,7,1.0,True
D4_W32_S4,D4,32,4,8,7.409135057117076e-15,7.409135057117076e-15,4.0,0.0,0.90375,0.097,1.0,0.123,0.209,0.8085,7,1.0,True
D4_W32_S5,D4,32,5,8,1.7489001736420014e-15,1.7489001736420014e-15,4.0,0.0,0.90725,0.094,1.0,0.1265,0.2015,0.783,7,1.0,True
D4_W32_S6,D4,32,6,8,7.946548814767758e-15,7.946548814767758e-15,4.0,0.0,0.89825,0.097,1.0,0.1215,0.197,0.806,7,1.0,True
D4_W32_S7,D4,32,7,8,2.3336670595233293e-15,2.3336670595233293e-15,4.0,0.0,0.90575,0.088,1.0,0.1225,0.2,0.783,7,1.0,True
D4_W32_S8,D4,32,8,8,2.7160874705401074e-15,2.7160874705401074e-15,4.0,0.0,0.90675,0.088,1.0,0.123,0.2015,0.7955,7,1.0,True
D4_W32_S9,D4,32,9,8,2.5288673165279763e-15,2.5288673165279763e-15,4.0,0.0,0.9035,0.091,1.0,0.12,0.201,0.7975,7,1.0,True
D4_W32_S10,D4,32,10,8,2.0527724138264866e-15,2.0527724138264866e-15,4.0,0.0,0.894,0.1,1.0,0.127,0.178,0.8165,7,1.0,True
D4_W32_S11,D4,32,11,8,2.721318116688643e-15,2.721318116688643e-15,4.0,0.0,0.90275,0.0975,1.0,0.1275,0.208,0.789,7,1.0,True
D4_W32_S12,D4,32,12,8,3.717714610007061e-15,3.717714610007061e-15,4.0,0.0,0.90175,0.088,1.0,0.1245,0.201,0.788,7,1.0,True
D4_W32_S13,D4,32,13,8,2.8579042790404037e-15,2.8579042790404037e-15,4.0,0.0,0.90325,0.102,1.0,0.116,0.19,0.808,7,1.0,True
D4_W32_S14,D4,32,14,8,2.3306548413558322e-15,2.3306548413558322e-15,4.0,0.0,0.89375,0.1085,1.0,0.14,0.209,0.8,7,1.0,True
D4_W32_S15,D4,32,15,8,1.8547297214577646e-15,1.8547297214577646e-15,4.0,0.0,0.89975,0.1015,1.0,0.125,0.1995,0.8,7,1.0,True
D4_W32_S16,D4,32,16,8,2.6106062821640276e-15,2.6106062821640276e-15,4.0,0.0,0.903,0.094,1.0,0.124,0.1885,0.793,7,1.0,True
D4_W32_S17,D4,32,17,8,3.927515592249891e-15,3.927515592249891e-15,4.0,0.0,0.89775,0.0995,1.0,0.1245,0.2075,0.811,7,1.0,True
D4_W32_S18,D4,32,18,8,2.358923879213259e-15,2.358923879213259e-15,4.0,0.0,0.89325,0.109,1.0,0.12,0.1985,0.7925,7,1.0,True
D4_W32_S19,D4,32,19,8,4.967322212904149e-15,4.967322212904149e-15,4.0,0.0,0.9,0.098,1.0,0.1265,0.197,0.793,7,1.0,True
D4_W32_S20,D4,32,20,8,2.8019720554929683e-15,2.8019720554929683e-15,4.0,0.0,0.90425,0.1,1.0,0.1155,0.196,0.7975,7,1.0,True
D4_W32_S21,D4,32,21,8,2.320590314583073e-15,2.320590314583073e-15,4.0,0.0,0.91,0.09,1.0,0.118,0.1975,0.806,7,1.0,True
D4_W32_S22,D4,32,22,8,2.4815249356343917e-15,2.4815249356343917e-15,4.0,0.0,0.89125,0.1105,1.0,0.1145,0.197,0.8025,7,1.0,True
D4_W32_S23,D4,32,23,8,2.230467087226312e-15,2.230467087226312e-15,4.0,0.0,0.89525,0.0975,1.0,0.1325,0.202,0.803,7,1.0,True
D4_W32_S24,D4,32,24,8,2.5043565304136086e-15,2.5043565304136086e-15,4.0,0.0,0.9035,0.0995,1.0,0.1175,0.21,0.778,7,1.0,True
D4_W32_S25,D4,32,25,8,2.983515223155902e-15,2.983515223155902e-15,4.0,0.0,0.907,0.0935,1.0,0.1315,0.182,0.8045,7,1.0,True
D4_W32_S26,D4,32,26,8,3.7878560321249885e-15,3.7878560321249885e-15,4.0,0.0,0.9,0.099,1.0,0.1225,0.194,0.806,7,1.0,True
D4_W32_S27,D4,32,27,8,2.0147510968643304e-15,2.0147510968643304e-15,4.0,0.0,0.8945,0.1085,1.0,0.131,0.197,0.8105,7,1.0,True
D4_W32_S28,D4,32,28,8,2.9013981051366774e-15,2.9013981051366774e-15,4.0,0.0,0.9005,0.103,1.0,0.132,0.214,0.799,7,1.0,True
D4_W32_S29,D4,32,29,8,4.488570470341084e-15,4.488570470341084e-15,4.0,0.0,0.90175,0.0995,1.0,0.124,0.1995,0.806,7,1.0,True
D4_W32_S30,D4,32,30,8,3.705615357159864e-15,3.705615357159864e-15,4.0,0.0,0.907,0.095,1.0,0.1295,0.2065,0.773,7,1.0,True
D4_W32_S31,D4,32,31,8,2.548897501245098e-15,2.548897501245098e-15,4.0,0.0,0.90575,0.0945,1.0,0.119,0.1875,0.815,7,1.0,True
D4_W32_S32,D4,32,32,8,2.165607902260802e-15,2.165607902260802e-15,4.0,0.0,0.89975,0.1005,1.0,0.1365,0.206,0.8065,7,1.0,True
D4_W32_S33,D4,32,33,8,7.544278683322572e-15,7.544278683322572e-15,4.0,0.0,0.90775,0.0905,1.0,0.1255,0.2015,0.7975,7,1.0,True
D4_W32_S34,D4,32,34,8,2.352463830537152e-15,2.352463830537152e-15,4.0,0.0,0.89275,0.1145,1.0,0.1145,0.2035,0.8095,7,1.0,True
D4_W32_S35,D4,32,35,8,2.7806402554072488e-15,2.7806402554072488e-15,4.0,0.0,0.90175,0.102,1.0,0.1215,0.204,0.7855,7,1.0,True
D4_W32_S36,D4,32,36,8,2.1046850703800085e-15,2.1046850703800085e-15,4.0,0.0,0.899,0.111,1.0,0.1345,0.2135,0.796,7,1.0,True
D4_W32_S37,D4,32,37,8,3.0968213152314394e-15,3.0968213152314394e-15,4.0,0.0,0.902,0.0955,1.0,0.1375,0.189,0.797,7,1.0,True
D4_W32_S38,D4,32,38,8,2.335056365163923e-15,2.335056365163923e-15,4.0,0.0,0.8995,0.1005,1.0,0.128,0.209,0.7955,7,1.0,True
D4_W32_S39,D4,32,39,8,1.8911089783431206e-15,1.8911089783431206e-15,4.0,0.0,0.89925,0.091,1.0,0.1195,0.202,0.806,7,1.0,True
D4_W32_S40,D4,32,40,8,8.338825540553522e-15,8.338825540553522e-15,4.0,0.0,0.897,0.103,1.0,0.1285,0.1995,0.799,7,1.0,True
D4_W32_S41,D4,32,41,8,2.6962911675228313e-15,2.6962911675228313e-15,4.0,0.0,0.90275,0.0935,1.0,0.123,0.1915,0.797,7,1.0,True
D4_W32_S42,D4,32,42,8,2.0189800608157215e-15,2.0189800608157215e-15,4.0,0.0,0.8965,0.103,1.0,0.127,0.1825,0.816,7,1.0,True
D4_W32_S43,D4,32,43,8,1.0986659787680343e-14,1.0986659787680343e-14,4.0,0.0,0.904,0.095,1.0,0.1325,0.1865,0.8085,7,1.0,True
