evidence_label,corpus_seed,transition_method,triangle,centrality_before,centrality_after,scalar_real_before,scalar_real_after,gauge_invariance_delta
natural_measured,0,activation_procrustes,2-6-7,0.44585932605055933,0.445859312794696,0.8951031509786844,0.8951032571494579,1.0617077350616455e-07
natural_measured,0,activation_procrustes,3-4-5,0.4433488833008293,0.4433488467719404,0.8963492121547461,0.8963492447510362,3.652888885818939e-08
natural_measured,0,activation_procrustes,3-4-6,0.4909080512392525,0.4909080464052706,0.8712113732472062,0.8712114654481411,9.220093488693237e-08
natural_measured,0,activation_procrustes,3-4-7,0.5092651864846306,0.5092651981627594,0.8606095826253295,0.8606096478179097,6.51925802230835e-08
natural_measured,0,activation_procrustes,3-5-6,0.42540827660718167,0.4254082560433904,0.9050015183165669,0.9050015741959214,5.587935447692871e-08
natural_measured,0,activation_procrustes,3-5-7,0.45096587111448394,0.45096588658368764,0.8925412129610777,0.8925412222743034,1.546920369577265e-08
natural_measured,0,activation_procrustes,3-6-7,0.5005045319523074,0.5005045486182531,0.8657339196652174,0.8657339811325073,6.146728992462158e-08
natural_measured,0,activation_procrustes,4-5-6,0.5072473832245045,0.5072473741462503,0.8618005746975541,0.8618006156757474,4.0978193283081055e-08
natural_measured,0,activation_procrustes,4-5-7,0.5374335084217592,0.5374334895281809,0.8433062415570021,0.8433062806725502,3.91155481338501e-08
natural_measured,0,activation_procrustes,4-6-7,0.5359987773836911,0.5359987941799825,0.8442188501358032,0.8442188920453191,4.190951585769653e-08
natural_measured,0,activation_procrustes,5-6-7,0.5203732371092042,0.5203732354459092,0.8539388747885823,0.8539389530196786,7.82310962677002e-08
natural_measured,0,low_rank_subspace,0-1-2,0.9999692918914717,0.9999692924428343,1.4851544621342327,1.4851344861090183,1.997602521441877e-05
natural_measured,0,low_rank_subspace,0-1-3,0.999979637326617,0.9999796375054909,1.6286712556611747,1.628658128902316,1.3126758858561516e-05
natural_measured,0,low_rank_subspace,0-1-4,0.9999239625302828,0.999923959941392,0.8887048664037138,0.8887139805592597,9.114155545830727e-06
natural_measured,0,low_rank_subspace,0-1-5,0.9998476229170805,0.9998476218913233,1.5337162581272423,1.5337212071754038,4.949048161506653e-06
natural_measured,0,low_rank_subspace,0-1-6,0.9999812370658139,0.9999812368800071,1.1130763478577137,1.1130792836192995,2.935761585831642e-06
natural_measured,0,low_rank_subspace,0-1-7,0.9999966456369374,0.9999966454781429,0.4422146763536148,0.4422265072353184,1.1830881703644991e-05
natural_measured,0,low_rank_subspace,0-2-3,0.9999952608442945,0.9999952608188567,1.1825222289189696,1.1825275685405359,5.339621566236019e-06
natural_measured,0,low_rank_subspace,0-2-4,0.9999140943417927,0.9999140943528232,1.073834297247231,1.0738347648875788,4.6764034777879715e-07
natural_measured,0,low_rank_subspace,0-2-5,0.999914920066903,0.9999149204578839,1.4353753617906477,1.4353772287722677,1.8669816199690104e-06
natural_measured,0,low_rank_subspace,0-2-6,0.9999619529139695,0.9999619534151267,0.8722032415680587,0.8721983614377677,4.880130290985107e-06
