seed,method,condition,examples,task_accuracy
21,uncertainty_weighted_retransport,blur,250,0.3440000116825104
21,uncertainty_weighted_retransport,chart_distribution_shift,250,0.3720000088214874
21,uncertainty_weighted_retransport,gaussian_corruption,250,0.31200000643730164
21,uncertainty_weighted_retransport,heldout_compositions,250,0.41200000047683716
21,uncertainty_weighted_retransport,heldout_reflections,250,0.42399999499320984
21,uncertainty_weighted_retransport,heldout_rotations,250,0.36000001430511475
21,uncertainty_weighted_retransport,seen_rotations,250,0.3840000033378601
21,abstaining_retransport,ambiguous_symmetric_inputs,250,0.3400000035762787
21,abstaining_retransport,blur,250,0.3160000145435333
21,abstaining_retransport,chart_distribution_shift,250,0.36800000071525574
21,abstaining_retransport,gaussian_corruption,250,0.2680000066757202
21,abstaining_retransport,heldout_compositions,250,0.37599998712539673
21,abstaining_retransport,heldout_reflections,250,0.41600000858306885
21,abstaining_retransport,heldout_rotations,250,0.335999995470047
21,abstaining_retransport,seen_rotations,250,0.3720000088214874
21,supplied_chart_oracle,ambiguous_symmetric_inputs,250,0.5040000081062317
21,supplied_chart_oracle,blur,250,0.7799999713897705
21,supplied_chart_oracle,chart_distribution_shift,250,0.7440000176429749
21,supplied_chart_oracle,gaussian_corruption,250,0.699999988079071
21,supplied_chart_oracle,heldout_compositions,250,0.7919999957084656
21,supplied_chart_oracle,heldout_reflections,250,0.7879999876022339
21,supplied_chart_oracle,heldout_rotations,250,0.7639999985694885
21,supplied_chart_oracle,seen_rotations,250,0.7879999876022339
21,random_chart_control,ambiguous_symmetric_inputs,250,0.2680000066757202
21,random_chart_control,blur,250,0.23999999463558197
21,random_chart_control,chart_distribution_shift,250,0.30399999022483826
21,random_chart_control,gaussian_corruption,250,0.2680000066757202
21,random_chart_control,heldout_compositions,250,0.23999999463558197
21,random_chart_control,heldout_reflections,250,0.2800000011920929
21,random_chart_control,heldout_rotations,250,0.2680000066757202
21,random_chart_control,seen_rotations,250,0.2919999957084656
21,wrong_group_action_control,ambiguous_symmetric_inputs,250,0.15199999511241913
21,wrong_group_action_control,blur,250,0.07599999755620956
21,wrong_group_action_control,chart_distribution_shift,250,0.05999999865889549
21,wrong_group_action_control,gaussian_corruption,250,0.08399999886751175
21,wrong_group_action_control,heldout_compositions,250,0.0560000017285347
21,wrong_group_action_control,heldout_reflections,250,0.05999999865889549
21,wrong_group_action_control,heldout_rotations,250,0.08799999952316284
21,wrong_group_action_control,seen_rotations,250,0.07599999755620956
21,wrong_multiplication_order_control,ambiguous_symmetric_inputs,250,0.3840000033378601
21,wrong_multiplication_order_control,blur,250,0.5680000185966492
21,wrong_multiplication_order_control,chart_distribution_shift,250,0.4000000059604645
21,wrong_multiplication_order_control,gaussian_corruption,250,0.5239999890327454
21,wrong_multiplication_order_control,heldout_compositions,250,0.5320000052452087
21,wrong_multiplication_order_control,heldout_reflections,250,0.30000001192092896
21,wrong_multiplication_order_control,heldout_rotations,250,0.6919999718666077
21,wrong_multiplication_order_control,seen_rotations,250,0.7080000042915344
21,ensemble_reference,ambiguous_symmetric_inputs,250,0.3199999928474426
21,ensemble_reference,blur,250,0.2720000147819519
21,ensemble_reference,chart_distribution_shift,250,0.1120000034570694
21,ensemble_reference,gaussian_corruption,250,0.23199999332427979
21,ensemble_reference,heldout_compositions,250,0.23999999463558197
21,ensemble_reference,heldout_reflections,250,0.10000000149011612
21,ensemble_reference,heldout_rotations,250,0.11599999666213989
21,ensemble_reference,seen_rotations,250,0.42800000309944153
21,generic_low_rank_context_adapter,ambiguous_symmetric_inputs,250,0.41200000047683716
21,generic_low_rank_context_adapter,blur,250,0.35600000619888306
21,generic_low_rank_context_adapter,chart_distribution_shift,250,0.20000000298023224
21,generic_low_rank_context_adapter,gaussian_corruption,250,0.30399999022483826
21,generic_low_rank_context_adapter,heldout_compositions,250,0.23999999463558197
21,generic_low_rank_context_adapter,heldout_reflections,250,0.41999998688697815
21,generic_low_rank_context_adapter,heldout_rotations,250,0.1720000058412552
21,generic_low_rank_context_adapter,seen_rotations,250,0.5920000076293945
22,single_canonical_raw,ambiguous_symmetric_inputs,250,0.2639999985694885
22,single_canonical_raw,blur,250,0.23999999463558197
22,single_canonical_raw,chart_distribution_shift,250,0.09200000017881393
22,single_canonical_raw,gaussian_corruption,250,0.20399999618530273
22,single_canonical_raw,heldout_compositions,250,0.15600000321865082
22,single_canonical_raw,heldout_reflections,250,0.06400000303983688
22,single_canonical_raw,heldout_rotations,250,0.11599999666213989
22,single_canonical_raw,seen_rotations,250,0.4440000057220459
22,d4_test_time_augmentation,ambiguous_symmetric_inputs,250,0.20399999618530273
22,d4_test_time_augmentation,blur,250,0.2160000056028366
22,d4_test_time_augmentation,chart_distribution_shift,250,0.19200000166893005
22,d4_test_time_augmentation,gaussian_corruption,250,0.08799999952316284
22,d4_test_time_augmentation,heldout_compositions,250,0.15600000321865082
22,d4_test_time_augmentation,heldout_reflections,250,0.23199999332427979
22,d4_test_time_augmentation,heldout_rotations,250,0.17599999904632568
22,d4_test_time_augmentation,seen_rotations,250,0.20800000429153442
22,direct_d4_equivariant_task_classifier,ambiguous_symmetric_inputs,250,0.492000013589859
22,direct_d4_equivariant_task_classifier,blur,250,0.5360000133514404
22,direct_d4_equivariant_task_classifier,chart_distribution_shift,250,0.6079999804496765
22,direct_d4_equivariant_task_classifier,gaussian_corruption,250,0.5640000104904175
22,direct_d4_equivariant_task_classifier,heldout_compositions,250,0.6600000262260437
22,direct_d4_equivariant_task_classifier,heldout_reflections,250,0.6439999938011169
22,direct_d4_equivariant_task_classifier,heldout_rotations,250,0.6399999856948853
