setting_id,null,permutation,residual,observed_residual,threshold_95
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,87,0.04171683700994712,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,88,0.05365270128666566,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,89,0.19446124463850034,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,90,0.25762632096462434,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,91,0.14583056462287894,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,92,0.20117275871255683,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,93,0.480051481969573,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,94,0.12687608308130716,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,95,0.17939227803679986,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,96,0.06040353296556955,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,97,0.09204732771652928,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,98,0.3601931305290419,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,edge_map_shuffle,99,0.04983457355364497,0.05888403541340326,0.4536661663861451
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,0,2.311125980308361e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,1,1.8271802768174433e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,2,2.2507465216935554e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,3,1.4188856820851602e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,4,2.340338403058441e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,5,1.3996846274514286e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,6,2.5673888542003847e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,7,1.3477411578640226e-16,0.05888403541340326,2.5688728833880927e-16
