phase,group,width,noise,context_budget,method,accuracy,loss,ece,trainable_parameters,latency_ms
discovery,D4,32,1.0,1024,generic_two_layer_mlp,0.10858333333333334,2.082364579268846,0.02618048859721221,792.0,0.00858306884765625
discovery,D4,32,1.0,1024,learned_matrix_context_action,0.12466666666666668,2.1474349935948935,0.07342492091500794,520.0,0.008436967618763447
discovery,D4,32,1.0,1024,shuffled_context_control,0.12725,2.500653106128225,0.23838317717485663,0.0,0.008479109965264797
discovery,D4,32,1.0,1024,structured_learned_router,0.10774999999999998,2.534914834515944,0.2577960949226384,72.0,0.008416129276156425
discovery,D4,32,1.0,1024,supplied_context_structured_retransport,0.12766666666666665,2.5061132387799274,0.2377880637336426,0.0,0.00845850445330143
discovery,D4,32,1.0,1024,twistedmerge_hodge_lr,0.12766666666666665,2.5061132387799274,0.2377880637336426,56.0,0.00847899354994297
discovery,S3,32,0.0,16,c2m3_strict_synchronization,0.2185,2.0808609463067724,0.19412027133515986,0.0,0.02074951771646738
discovery,S3,32,0.0,16,generic_linear,0.1675,1.8518110543108328,0.09332587501156073,234.0,0.019749975763261318
discovery,S3,32,0.0,16,generic_low_rank_context_adapter,0.18341666666666667,2.168373945390833,0.24490896944514642,270.0,0.02029107417911291
discovery,S3,32,0.0,16,generic_mixture_of_experts,0.8661666666666668,1.5800832912706297,0.6569778464332063,42.0,0.02110388595610857
discovery,S3,32,0.0,16,generic_two_layer_mlp,0.17266666666666666,1.9321928422171788,0.15849577120649777,546.0,0.020458013750612736
discovery,S3,32,0.0,16,learned_matrix_context_action,0.45433333333333337,1.442485786288414,0.16476468954578632,222.0,0.01950003206729889
discovery,S3,32,0.0,16,shuffled_context_control,0.17525,2.141105875476176,0.23762679397989675,0.0,0.021250569261610508
discovery,S3,32,0.0,16,structured_learned_router,0.8668333333333333,1.1239710409370292,0.45511616758244067,42.0,0.0209583668038249
discovery,S3,32,0.0,16,supplied_context_structured_retransport,1.0,0.9288146139132758,0.5874608015373671,0.0,0.020999927073717117
discovery,S3,32,0.0,16,twistedmerge_hodge_lr,1.0,0.9288146139132758,0.5874608015373671,30.0,0.020916457287967205
discovery,S3,32,0.0,64,c2m3_strict_synchronization,0.2185,2.0808609463067724,0.19412027133515986,0.0,0.020812032744288445
discovery,S3,32,0.0,64,generic_linear,0.17233333333333334,1.893792642476365,0.11866862890021779,234.0,0.02077047247439623
discovery,S3,32,0.0,64,generic_low_rank_context_adapter,0.17683333333333334,2.1572651285106392,0.2423374414809017,270.0,0.021563144400715828
discovery,S3,32,0.0,64,generic_mixture_of_experts,1.0,1.5392479478041383,0.7843151562898398,42.0,0.021249987185001373
discovery,S3,32,0.0,64,generic_two_layer_mlp,0.16558333333333333,1.809300875375436,0.048874567604313426,546.0,0.02050003968179226
discovery,S3,32,0.0,64,learned_matrix_context_action,0.9109999999999999,0.9961444865557165,0.5177394795580045,222.0,0.02093752846121788
discovery,S3,32,0.0,64,shuffled_context_control,0.17933333333333334,2.1384513834045107,0.23321830818406442,0.0,0.021124957129359245
discovery,S3,32,0.0,64,structured_learned_router,1.0,0.9288146139132758,0.5874608015373671,42.0,0.020791543647646904
discovery,S3,32,0.0,64,supplied_context_structured_retransport,1.0,0.9288146139132758,0.5874608015373671,0.0,0.020895851776003838
discovery,S3,32,0.0,64,twistedmerge_hodge_lr,1.0,0.9288146139132758,0.5874608015373671,30.0,0.020875013433396816
discovery,S3,32,0.0,256,c2m3_strict_synchronization,0.2185,2.0808609463067724,0.19412027133515986,0.0,0.020687468349933624
discovery,S3,32,0.0,256,generic_linear,0.17675000000000002,1.8032812027286873,0.031798104454784835,234.0,0.02156198024749756
discovery,S3,32,0.0,256,generic_low_rank_context_adapter,0.18066666666666667,1.9731584136769964,0.1657904930686486,270.0,0.021666521206498146
discovery,S3,32,0.0,256,generic_mixture_of_experts,1.0,1.5379780394543783,0.7840302740732276,42.0,0.02116651739925146
discovery,S3,32,0.0,256,generic_two_layer_mlp,0.17133333333333334,1.7943717150801344,0.01838201680608787,546.0,0.021229032427072525
discovery,S3,32,0.0,256,learned_matrix_context_action,0.9973333333333333,0.9331494489176088,0.5866443055157277,222.0,0.021124607883393764
discovery,S3,32,0.0,256,shuffled_context_control,0.174,2.1444173636113275,0.23862027133515987,0.0,0.021416926756501198
discovery,S3,32,0.0,256,structured_learned_router,1.0,0.9288146139132758,0.5874608015373671,42.0,0.02087443135678768
discovery,S3,32,0.0,256,supplied_context_structured_retransport,1.0,0.9288146139132758,0.5874608015373671,0.0,0.020999927073717117
discovery,S3,32,0.0,256,twistedmerge_hodge_lr,1.0,0.9288146139132758,0.5874608015373671,30.0,0.020916573703289032
discovery,S3,32,0.0,1024,c2m3_strict_synchronization,0.2185,2.0808609463067724,0.19412027133515986,0.0,0.020771054551005363
