draw,family,cycle_residual
18,matched_norm_coboundary,4.631431866016553e-16
18,matched_fit_random_gauge,1.2159759666154575
18,graph_topology_shuffle,1.4153666539593632
18,activation_bootstrap,1.0783799886703491
19,edge_shuffle,1.3847516775131226
19,matched_norm_coboundary,4.647416590534843e-16
19,matched_fit_random_gauge,1.1901256663103101
19,graph_topology_shuffle,1.4051381641574558
19,activation_bootstrap,1.0644779205322266
20,edge_shuffle,1.4185959100723267
20,matched_norm_coboundary,5.911303556037241e-16
20,matched_fit_random_gauge,1.1966607204739075
20,graph_topology_shuffle,1.34122377364361
20,activation_bootstrap,1.281747817993164
21,edge_shuffle,1.2955248355865479
21,matched_norm_coboundary,5.567007382117516e-16
21,matched_fit_random_gauge,1.246461147128118
21,graph_topology_shuffle,1.4547390146077654
21,activation_bootstrap,1.163181185722351
22,edge_shuffle,1.4214595556259155
22,matched_norm_coboundary,5.483264887612051e-16
22,matched_fit_random_gauge,1.1492019122633408
22,graph_topology_shuffle,1.414937998780345
22,activation_bootstrap,1.3177800178527832
23,edge_shuffle,1.4214595556259155
23,matched_norm_coboundary,5.188401873064398e-16
23,matched_fit_random_gauge,1.2008966522190092
23,graph_topology_shuffle,1.4781562050542185
23,activation_bootstrap,1.3200039863586426
24,edge_shuffle,1.2955248355865479
24,matched_norm_coboundary,4.2954972198180496e-16
24,matched_fit_random_gauge,1.2371182527992002
24,graph_topology_shuffle,1.4888756064024513
24,activation_bootstrap,1.2230342626571655
25,edge_shuffle,1.4185959100723267
25,matched_norm_coboundary,6.330221624178389e-16
25,matched_fit_random_gauge,1.2135644036419146
25,graph_topology_shuffle,1.4324748431867276
25,activation_bootstrap,1.257995843887329
26,edge_shuffle,1.4188048839569092
26,matched_norm_coboundary,5.109671439549342e-16
26,matched_fit_random_gauge,1.220203862040168
26,graph_topology_shuffle,1.4664290514859961
26,activation_bootstrap,1.2327135801315308
27,edge_shuffle,1.4214595556259155
27,matched_norm_coboundary,5.061632764887381e-16
27,matched_fit_random_gauge,1.1896672133916133
27,graph_topology_shuffle,1.4042249849605757
27,activation_bootstrap,1.180579662322998
28,edge_shuffle,1.4185959100723267
28,matched_norm_coboundary,6.028600956993637e-16
28,matched_fit_random_gauge,1.1913432195469755
28,graph_topology_shuffle,1.3560742865163045
28,activation_bootstrap,1.1132709980010986
29,edge_shuffle,1.4188048839569092
29,matched_norm_coboundary,5.215924154703599e-16
29,matched_fit_random_gauge,1.214967090554564
29,graph_topology_shuffle,1.488217192833487
29,activation_bootstrap,1.3593318462371826
30,edge_shuffle,1.4188048839569092
30,matched_norm_coboundary,6.195663193842994e-16
30,matched_fit_random_gauge,1.2189840483929621
30,graph_topology_shuffle,1.4074757070069708
30,activation_bootstrap,1.328070044517517
31,edge_shuffle,1.2955248355865479
31,matched_norm_coboundary,5.2328740148912735e-16
31,matched_fit_random_gauge,1.1812175103525038
31,graph_topology_shuffle,1.4500228930810384
31,activation_bootstrap,1.2073396444320679
32,edge_shuffle,1.41055166721344
32,matched_norm_coboundary,6.392449992394392e-16
32,matched_fit_random_gauge,1.1853130308389845
32,graph_topology_shuffle,1.3392550072984675
32,activation_bootstrap,1.1434475183486938
33,edge_shuffle,1.3847516775131226
33,matched_norm_coboundary,5.14534759820965e-16
33,matched_fit_random_gauge,1.2163174930505771
33,graph_topology_shuffle,1.453769957852533
33,activation_bootstrap,1.215404748916626
34,edge_shuffle,1.3847516775131226
34,matched_norm_coboundary,5.546227901144375e-16
34,matched_fit_random_gauge,1.1480118587155137
34,graph_topology_shuffle,1.4487468144438618
34,activation_bootstrap,1.3219560384750366
35,edge_shuffle,1.41055166721344
35,matched_norm_coboundary,5.994436105261895e-16
35,matched_fit_random_gauge,1.1987113291697706
35,graph_topology_shuffle,1.3794213438846412
35,activation_bootstrap,1.16264808177948
36,edge_shuffle,1.4188048839569092
36,matched_norm_coboundary,5.329950428220209e-16
36,matched_fit_random_gauge,1.2193304730025414
36,graph_topology_shuffle,1.4308454061201095
36,activation_bootstrap,1.0830916166305542
37,edge_shuffle,1.41055166721344
37,matched_norm_coboundary,6.420953290855932e-16
