denoising_method,d,k,noise_level,candidate_rank,n,certification_rate,uncertain_rate,rejection_rate,correct_period_rate,correct_index_rate,lift_rate,false_lift_rate,period_divisible_index_obstructed_rejection_rate,mean_learned_operator_error_raw,mean_learned_operator_error_denoised,mean_pair_reconstruction_residual_raw,mean_pair_reconstruction_residual_denoised,mean_global_sync_residual,mean_unitary_projection_residual
nearest_unitary_projection,3,2,0.001,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00041169029778258286,0.00028250907991401054,0.0042674840012310745,0.004257768729043336,,0.0002990154676334589
nearest_unitary_projection,3,2,0.001,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00041169029778258286,0.00028250907991401054,0.0042674840012310745,0.004257768729043336,,0.0002990154676334589
nearest_unitary_projection,3,2,0.003,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012374450023130777,0.0008474284942289545,0.012801657609286579,0.01277289736073787,,0.0009004788545522375
nearest_unitary_projection,3,2,0.003,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012374450023130777,0.0008474284942289545,0.012801657609286579,0.01277289736073787,,0.0009004788545522375
nearest_unitary_projection,3,2,0.003,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012374450023130777,0.0008474284942289545,0.012801657609286579,0.01277289736073787,,0.0009004788545522375
nearest_unitary_projection,3,2,0.01,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004215737047894785,0.0028240184343175613,0.042644606415434654,0.04255952143396275,,0.0031294274196520012
nearest_unitary_projection,3,2,0.01,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004215737047894785,0.0028240184343175613,0.042644606415434654,0.04255952143396275,,0.0031294274196520012
nearest_unitary_projection,3,2,0.01,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004215737047894785,0.0028240184343175613,0.042644606415434654,0.04255952143396275,,0.0031294274196520012
nearest_unitary_projection,3,2,0.03,3,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.014809999486696293,0.008476207347490956,0.12723179131454398,0.12722769414489316,,0.012256430574101473
nearest_unitary_projection,3,2,0.03,6,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.014809999486696293,0.008476207347490956,0.12723179131454398,0.12722769414489316,,0.012256430574101473
