summary_type,family,width,method,comparison,n_rows,n_unique_seeds,mean_test_accuracy,test_accuracy_ci_low,test_accuracy_ci_high,mean_test_loss,mean_delta,delta_ci_low,delta_ci_high,claim_status
paired_delta,random_noncentral,32,twisted_q2_branch,twisted_q2_branch_vs_wrong_context_control,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,32,twisted_q2_branch,twisted_q2_branch_vs_learned_context_router,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,32,twisted_q2_branch,twisted_q2_branch_vs_distilled_twisted_single_model,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,32,twisted_q2_branch,twisted_q2_branch_vs_parameter_matched_wide_control,30,30,,,,,0.027050000000000005,0.020533124999999992,0.03379187500000001,noncentral_control_not_promoted
paired_delta,random_noncentral,32,twisted_q2_branch,twisted_q2_branch_vs_no_twist_branch_control,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,32,c2m3_synchronized,c2m3_synchronized_vs_ordinary_weight_average,30,30,,,,,0.5015583333333333,0.4987666666666667,0.5045749999999999,noncentral_control_not_promoted
paired_delta,random_noncentral,64,twisted_q2_branch,twisted_q2_branch_vs_ordinary_weight_average,30,30,,,,,0.49934166666666674,0.4962914583333334,0.5023500000000001,noncentral_control_not_promoted
paired_delta,random_noncentral,64,twisted_q2_branch,twisted_q2_branch_vs_c2m3_synchronized,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,64,twisted_q2_branch,twisted_q2_branch_vs_random_branch_ensemble,30,30,,,,,0.4666666666666667,0.3,0.6333333333333333,noncentral_control_not_promoted
paired_delta,random_noncentral,64,twisted_q2_branch,twisted_q2_branch_vs_validation_selected_branch_ensemble,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,64,twisted_q2_branch,twisted_q2_branch_vs_c2m3_cluster_branch_ensemble,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,64,twisted_q2_branch,twisted_q2_branch_vs_wrong_twist_control,30,30,,,,,1.0,1.0,1.0,noncentral_control_not_promoted
paired_delta,random_noncentral,64,twisted_q2_branch,twisted_q2_branch_vs_wrong_context_control,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,64,twisted_q2_branch,twisted_q2_branch_vs_learned_context_router,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,64,twisted_q2_branch,twisted_q2_branch_vs_distilled_twisted_single_model,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,64,twisted_q2_branch,twisted_q2_branch_vs_parameter_matched_wide_control,30,30,,,,,0.02616666666666668,0.020683333333333342,0.03195041666666668,noncentral_control_not_promoted
paired_delta,random_noncentral,64,twisted_q2_branch,twisted_q2_branch_vs_no_twist_branch_control,30,30,,,,,0.0,0.0,0.0,noncentral_control_not_promoted
paired_delta,random_noncentral,64,c2m3_synchronized,c2m3_synchronized_vs_ordinary_weight_average,30,30,,,,,0.49934166666666674,0.49637479166666676,0.5023002083333334,noncentral_control_not_promoted
