summary_type,target,feature_set,predictor,n_rows,n_fixed_settings,metric,metric_value,bootstrap_ci_low,bootstrap_ci_high,claim_boundary,mae,fixed_setting_id,n_unique_seeds
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,sync_disagreement,1680,16.0,standardized_linear_beta,-5.580440623487171e-12,-2.0869636226138796e-11,5.466035981585741e-12,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,barrier_weight_average_val_max_loss_barrier,1680,16.0,standardized_linear_beta,1.742674548150516e-09,-3.199140604016231e-08,2.929640160178383e-08,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,barrier_git_rebasin_pairwise_ref0_val_max_loss_barrier,1680,16.0,standardized_linear_beta,-8.658556073406869e-09,-3.764341850279623e-08,3.789056444782051e-08,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,barrier_c2m3_synchronized_val_max_loss_barrier,1680,16.0,standardized_linear_beta,3.986068928163618e-09,-1.9277896407670772e-08,1.8598465277701868e-08,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,barrier_greedy_soup_val_max_loss_barrier,1680,16.0,standardized_linear_beta,-1.6606622976578964e-10,-5.695723879214276e-10,5.680815651008062e-10,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,barrier_c2m3_val_max_delta_vs_weight_average,1680,16.0,standardized_linear_beta,1.269414505409845e-09,-2.751185596195667e-08,2.834046249650816e-08,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,barrier_c2m3_val_max_delta_vs_git_rebasin,1680,16.0,standardized_linear_beta,-6.833418258545346e-09,-3.6437870916576433e-08,3.334345878296922e-08,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,candidate_individual_val_accuracy,1680,16.0,standardized_linear_beta,5.0788307587312786e-11,-1.2136659978065085e-11,2.201637175961421e-10,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,candidate_individual_val_loss,1680,16.0,standardized_linear_beta,4.459267330392258e-11,-1.7523234257946565e-11,2.021606898566394e-10,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,candidate_val_accuracy_gap_to_best_validation,1680,16.0,standardized_linear_beta,0.011020449031912816,0.007507040866029917,0.013360916975895611,proxy_validation_target_not_test_selection,,,
regression_beta,validation_margin_after_adding_candidate_proxy,obstruction_plus_local_quality,candidate_rank_fraction,1680,16.0,standardized_linear_beta,-8.7988344908696e-12,-1.9619205229599174e-11,-4.752167299129858e-12,proxy_validation_target_not_test_selection,,,
