summary_type,scope,n_models,width,method,baseline,n_rows,n_seeds,mean_accuracy,accuracy_standard_error,mean_loss,mean_merge_degradation,mean_accuracy_delta_vs_c2m3,mean_accuracy_delta_vs_greedy_soup,symmetry_status,is_single_model,capacity_matched_to_weight_average,comparison,claim_label,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,selector_chose_c2m3,selector_chose_monomial,selector_chosen_test_better,selector_chosen_test_tied,selector_chosen_test_worse,selector_no_test_leakage,pearson_centrality_improvement_vs_monomial_gain,spearman_centrality_improvement_vs_monomial_gain,mean_monomial_centrality_improvement,mean_monomial_accuracy_delta_vs_c2m3,claim,claim_decision,claim_reason
method_summary,fixed_setting,3,64,validated_ladder_selector,,20.0,20.0,0.8636000000000001,0.001221302152363789,0.6090371160507201,0.01115000000000001,0.002400000000000002,-0.007000000000000006,validation_selected_exact_relu_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,3,64,weight_average,,20.0,20.0,0.77275,0.00874819530261137,1.2220857902526856,0.10200000000000001,-0.08844999999999999,-0.09784999999999998,ordinary_unaligned_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,c2m3_greedy_soup,,20.0,20.0,0.8206499999999999,0.0017551053349705546,0.8828179172515869,0.0035499999999999976,0.09324999999999997,-0.001150000000000001,exact_relu_permutation_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,c2m3_permutation,,20.0,20.0,0.7274,0.007750178266201026,1.2011171295166014,0.09679999999999996,0.0,-0.09439999999999997,exact_relu_permutation_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,ensemble_upper_bound,,20.0,20.0,0.8356999999999999,0.0015391385150210022,0.8352872608184814,-0.01150000000000001,0.10829999999999998,0.013900000000000006,extra_capacity_ensemble,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,greedy_soup,,20.0,20.0,0.8217999999999999,0.0017268773156069572,0.8646991386413575,0.0023999999999999968,0.09439999999999997,0.0,ordinary_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,monomial_scale,,20.0,20.0,0.7317,0.009008212627199811,1.194079267501831,0.09249999999999996,0.0043000000000000035,-0.09009999999999994,exact_relu_positive_scale_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,monomial_scaled_greedy_soup,,20.0,20.0,0.8217999999999999,0.0017268773156069572,0.8646991382598879,0.0023999999999999968,0.09439999999999997,0.0,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,validated_ladder_selector,,20.0,20.0,0.74155,0.0064817456225764935,1.189354451751709,0.08264999999999996,0.014149999999999996,-0.08024999999999996,validation_selected_exact_relu_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,16,weight_average,,20.0,20.0,0.5223499999999999,0.023541036398953254,1.7855855926513668,0.30185,-0.20505,-0.29944999999999994,ordinary_unaligned_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,32,c2m3_greedy_soup,,20.0,20.0,0.8507499999999999,0.0016397608939945144,0.6230523611068726,0.005950000000000006,0.02615,0.0,exact_relu_permutation_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,32,c2m3_permutation,,20.0,20.0,0.8245999999999999,0.0036065729468641836,0.8616764831542969,0.032100000000000004,0.0,-0.02615,exact_relu_permutation_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,32,ensemble_upper_bound,,20.0,20.0,0.8561000000000002,0.001281241174552404,0.6113876041412354,0.0006000000000000005,0.03150000000000001,0.005350000000000005,extra_capacity_ensemble,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,32,greedy_soup,,20.0,20.0,0.8507499999999999,0.0016397608939945144,0.6230523540496826,0.005950000000000006,0.02615,0.0,ordinary_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,32,monomial_scale,,20.0,20.0,0.83065,0.0029039673406891925,0.8464451789855957,0.02605000000000001,0.006049999999999995,-0.020100000000000007,exact_relu_positive_scale_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,32,monomial_scaled_greedy_soup,,20.0,20.0,0.8505499999999999,0.0016943792528922158,0.6369860078811647,0.006150000000000005,0.02595,-0.00020000000000000017,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,32,validated_ladder_selector,,20.0,20.0,0.8316000000000001,0.002921247030041503,0.8459935977935791,0.02510000000000001,0.006999999999999995,-0.019150000000000007,validation_selected_exact_relu_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,fixed_setting,4,32,weight_average,,20.0,20.0,0.6558999999999999,0.020744168489380082,1.5882984329223633,0.2008,-0.1687,-0.19484999999999997,ordinary_unaligned_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
