case_id,source,noise_type,noise_level,candidate_rank,n,certification_rate,uncertain_rate,rejection_rate,correct_period_rate,correct_index_rate,false_lift_rate,false_positive_central_rate,false_positive_lift_rate,false_negative_rejection_rate,period_divisible_index_obstructed_rejection_rate,mean_centrality_score,mean_phase_residual,mean_root_margin
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,1e-05,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.513762572068573e-05,3.5137625703801176e-05,0.2845991107374532
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,3e-05,4,20,0.3,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00010541294978836935,0.00010541294933248441,0.28453798894444776
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,3e-05,8,20,0.3,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00010541294978836935,0.00010541294933248441,0.28453798894444776
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.0001,4,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0003513773542792993,0.00035137733739442706,0.28432416583481435
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.0001,8,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0003513773542792993,0.00035137733739442706,0.28432416583481435
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.0003,4,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001054139588882398,0.0010541391329719119,0.2837141269653325
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.0003,8,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001054139588882398,0.0010541391329719119,0.2837141269653325
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.001,4,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003513894119164973,0.003513877231112462,0.2815893082879703
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.001,8,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003513894119164973,0.003513877231112462,0.2815893082879703
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.003,4,20,0.0,0.3,0.7,0.3,0.3,0.0,0.0,0.0,0.7,0.0,0.01054269856764006,0.010542242393335201,0.27560682022953187
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.003,8,20,0.0,0.3,0.7,0.3,0.3,0.0,0.0,0.0,0.7,0.0,0.01054269856764006,0.010542242393335201,0.27560682022953187
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.01,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03516188901273763,0.035144965702166374,0.2556959516235737
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.01,8,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03516188901273763,0.035144965702166374,0.2556959516235737
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.03,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10585326112032072,0.10539360603497734,0.20729052365293596
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.03,8,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10585326112032072,0.10539360603497734,0.20729052365293596
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.05,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.177585745139681,0.17543932483517768,0.16999172978732374
heisenberg_d2_k2,central_positive,entrywise_projected_unitary,0.05,8,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.177585745139681,0.17543932483517768,0.16999172978732374
heisenberg_d2_k2,central_positive,unitary_near_identity,0.0,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,1.7319121124709866e-16,0.2846296765465698
heisenberg_d2_k2,central_positive,unitary_near_identity,0.0,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,1.7319121124709866e-16,0.2846296765465698
heisenberg_d2_k2,central_positive,unitary_near_identity,1e-07,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.380866081655603e-07,9.380866081652317e-07,0.28462881125646106
heisenberg_d2_k2,central_positive,unitary_near_identity,1e-07,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.380866081655603e-07,9.380866081652317e-07,0.28462881125646106
heisenberg_d2_k2,central_positive,unitary_near_identity,3e-07,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8142598607770913e-06,2.8142598607682178e-06,0.2846270806839692
heisenberg_d2_k2,central_positive,unitary_near_identity,3e-07,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8142598607770913e-06,2.8142598607682178e-06,0.2846270806839692
heisenberg_d2_k2,central_positive,unitary_near_identity,1e-06,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.380866601055261e-06,9.380866600726619e-06,0.28462102376136916
heisenberg_d2_k2,central_positive,unitary_near_identity,1e-06,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.380866601055261e-06,9.380866600726619e-06,0.28462102376136916
heisenberg_d2_k2,central_positive,unitary_near_identity,3e-06,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8142603230061188e-05,2.8142603221187867e-05,0.2846037189635516
heisenberg_d2_k2,central_positive,unitary_near_identity,3e-06,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8142603230061188e-05,2.8142603221187867e-05,0.2846037189635516
heisenberg_d2_k2,central_positive,unitary_near_identity,1e-05,4,20,0.7,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.380871749973663e-05,9.380871717109471e-05,0.28454316028341825
heisenberg_d2_k2,central_positive,unitary_near_identity,1e-05,8,20,0.7,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.380871749973663e-05,9.380871717109471e-05,0.28454316028341825
heisenberg_d2_k2,central_positive,unitary_near_identity,3e-05,4,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00028142649815233463,0.00028142648927897046,0.2843702050188409
